"mesh_term_lower","n_pmids","prop_total"
"11-beta-hydroxysteroid dehydrogenases",1264,0.000032872894353279378095
"11-beta-hydroxysteroid dehydrogenase type 1",1428,0.000037138048367470689810
"11-beta-hydroxysteroid dehydrogenase type 2",915,0.000023796438554786891580
"11-hydroxycorticosteroids",937,0.000024368593361568652907
"1,2-dihydroxybenzene-3,5-disulfonic acid disodium salt",287,0.000007464019524834795501
"1,2-dimethylhydrazine",1415,0.000036799956890736012661
"1,2-dipalmitoylphosphatidylcholine",4278,0.00011125810288238068
"12e7 antigen",766,0.000019921390090674053497
"12-hydroxy-5,8,10,14-eicosatetraenoic acid",1177,0.000030610282162824231027
"14-3-3 proteins",4651,0.00012095872756099872
"14-alpha demethylase inhibitors",263,0.000006839850644709237689
"1,4-alpha-glucan branching enzyme",580,0.000015084081269700980455
"15-hydroxy-11 alpha,9 alpha-(epoxymethano)prosta-5,13-dienoic acid",2626,0.000068294478300404783922
"1-(5-isoquinolinesulfonyl)-2-methylpiperazine",3460,0.000089984346884767917886
"15-oxoprostaglandin 13-reductase",56,0.000001456394053626301561
"16,16-dimethylprostaglandin e2",537,0.000013965778692809356042
"17-alpha-hydroxypregnenolone",624,0.000016228390883264503110
"17-alpha-hydroxyprogesterone",2153,0.000055993149954596915378
"17 alpha-hydroxyprogesterone caproate",515,0.000013393623886027594714
"17-hydroxycorticosteroids",5245,0.00013640690734410628
"17-hydroxysteroid dehydrogenases",2356,0.000061272578398992258537
"17-ketosteroids",7390,0.00019219200100532801
"18-hydroxycorticosterone",326,0.000008478293955038826945
"18-hydroxydesoxycorticosterone",194,0.000005045365114348258980
"19-iodocholesterol",114,0.000002964802180596399607
"1-acylglycerol-3-phosphate o-acyltransferase",364,0.000009466561348570960148
"1-acylglycerophosphocholine o-acyltransferase",581,0.000015110088306372878697
"1-alkyl-2-acetylglycerophosphocholine esterase",2070,0.000053834565910829361279
"1-butanol",1636,0.000042547511995225524180
"1-carboxyglutamic acid",654,0.000017008601983421450375
"1-deoxynojirimycin",1558,0.000040518963134817461291
"1-methyl-3-isobutylxanthine",5114,0.00013299998554008761
"1-methyl-4-phenyl-1,2,3,6-tetrahydropyridine",4015,0.00010441825223767144
"1-methyl-4-phenylpyridinium",1950,0.000050713721510201572219
"1-naphthylamine",1103,0.000028685761449103761106
"1-naphthylisothiocyanate",433,0.000011261046878931938857
"1-octanol",810,0.000021065699704237576153
"1-phosphatidylinositol 4-kinase",965,0.000025096790388381803688
"1-propanol",2931,0.000076226624485333747781
"1-pyrroline-5-carboxylate dehydrogenase",160,0.000004161125867503718746
"1-sarcosine-8-isoleucine angiotensin ii",285,0.000007412005451490999017
"2019-ncov vaccine mrna-1273",1027,0.000026709226662039494702
"20-alpha-dihydroprogesterone",529,0.000013757722399434170105
"20-alpha-hydroxysteroid dehydrogenase",154,0.000004005083647472329293
"20-hydroxysteroid dehydrogenases",441,0.000011469103172307124794
"2,2'-dipyridyl",2298,0.000059764170272022160492
"22q11 deletion syndrome",235,0.000006111653617896086908
"2,3,4,5-tetrahydro-7,8-dihydroxy-1-phenyl-1h-3-benzazepine",2016,0.000052430185930546856202
"2',3'-cyclic nucleotide 3'-phosphodiesterase",272,0.000007073913974756321868
"2',3'-cyclic-nucleotide phosphodiesterases",1258,0.000032716852133247988642
"2,3-diketogulonic acid",79,0.000002054555897079961131
"2,3-diphosphoglycerate",1434,0.000037294090587502079263
"24,25-dihydroxyvitamin d 3",835,0.000021715875621035032207
"2,4,5-trichlorophenoxyacetic acid",843,0.000021923931914410218144
"2,4-dichlorophenoxyacetic acid",3242,0.000084314812890294101094
"2,4-dinitrophenol",1832,0.000047644891182917579644
"25-hydroxyvitamin d 2",912,0.000023718417444771196853
"25-hydroxyvitamin d3 1-alpha-hydroxylase",1285,0.000033419042123389241180
"2',5'-oligoadenylate synthetase",1684,0.000043795849755476639803
"2,6-dichloroindophenol",438,0.000011391082062291430068
"2-acetolactate mutase",20,0.000000520140733437964843
"2-acetylaminofluorene",2356,0.000061272578398992258537
"2-amino-5-phosphonovalerate",3737,0.000097188296042883730965
"2-aminoadipate transaminase",23,0.000000598161843453659570
"2-aminoadipic acid",560,0.000014563940536263015612
"2-aminopurine",1411,0.000036695928744048419693
"2-chloroadenosine",835,0.000021715875621035032207
"2h-benzo(a)quinolizin-2-ol, 2-ethyl-1,3,4,6,7,11b-hexahydro-3-isobutyl-9,10-dimethoxy-",91,0.000002366640337142740037
"2-hydroxy-5-nitrobenzyl bromide",60,0.000001560422200313894530
"2-hydroxyphenethylamine",155,0.000004031090684144227535
"2-hydroxypropyl-beta-cyclodextrin",1944,0.000050557679290170182766
"2-isopropylmalate synthase",118,0.000003068830327283992575
"2-methoxyestradiol",762,0.000019817361943986460529
"2-methyl-4-chlorophenoxyacetic acid",507,0.000013185567592652408777
"2-naphthylamine",1477,0.000038412393164393703676
"2-oxoisovalerate dehydrogenase (acylating)",6,0.000000156042220031389453
"2-propanol",1998,0.000051962059270452687843
"2-pyridinylmethylsulfinylbenzimidazoles",3678,0.000095653880879241734678
