"doc_id","paragraph_id","chunk_id","chunk","text_id"
"file.pdf","1ED",1,"a11111","file.pdf~1ED~1"
"file.pdf","OPENACCESS",2,"OPENACCESS
Citation: Croijmans I, Majid A (2016) Not All Flavor Expertise Is Equal: The Language of Wine and Coffee Experts. PLoS ONE 11(6): e0155845. doi:10.1371/journal.pone.0155845
Editor: Sidney Arthur Simon, Duke University Medical Center, UNITED STATES
Received:
January 19, 2016
Accepted:
May 5, 2016
Published:
June 20, 2016
Copyright: © 2016 Croijmans, Majid. This is an open access article distributed under the terms of the Creative Commons Attribution License, which permits unrestricted use, distribution, and reproduction in any medium, provided the original author and source are credited.
Data Availability Statement: All datafiles are available without restricitons from The Netherlands Organisation for Scientific Research (NWO) Data Archiving and Networking Service (DANS) Repository. The DOI for the dataset is http://dx.doi. org/10.17026/dans-zke-2wgq, and the full citation for the dataset is: Majid, Prof. Dr. A (Radboud University); Croijmans, MSc. I (Radboud University) (2016): Human olfaction at the intersection of language, culture and biology. DANS. http://dx.doi. org/10.17026/dans-zke-2wgq
Funding: Funding was provided by Netherlands Organisation for Scientific Research, grant number 277-70-011, http://www.nwo.nl/en/research-and-
RESEARCHARTICLE","file.pdf~OPENACCESS~2"
"file.pdf","Not All Flavor Expertise Is Equal: The Language of Wine and Coffee Experts",3,"Not All Flavor Expertise Is Equal: The Language of Wine and Coffee Experts
Ilja Croijmans 1,2 * , Asifa Majid 1,3,4
1 Centre for Language Studies, Radboud University, Nijmegen, The Netherlands, 2 International Max Planck Research School for Language Sciences, Nijmegen, The Netherlands, 3 Donders Institute for Brain, Cognition, and Behaviour, Radboud University, Nijmegen, The Netherlands, 4 Max Planck Institute for Psycholinguistics, Nijmegen, The Netherlands
* i.croijmans@let.ru.nl","file.pdf~Not All Flavor Expertise Is Equal: The Language of Wine and Coffee Experts~3"
"file.pdf","Abstract",4,"Abstract
People in Western cultures are poor at naming smells and flavors. However, for wine and coffee experts, describing smells and flavors is part of their daily routine. So are experts better than lay people at conveying smells and flavors in language? If smells and flavors are more easily linguistically expressed by experts, or more ' codable ' , then experts should be better than novices at describing smells and flavors. If experts are indeed better, we can also ask how general this advantage is: do experts show higher codability only for smells and flavors they are expert in (i.e., wine experts for wine and coffee experts for coffee) or is their linguistic dexterity more general? To address these questions, wine experts, coffee experts, and novices were asked to describe the smell and flavor of wines, coffees, everyday odors, and basic tastes. The resulting descriptions were compared on a number of measures. We found expertise endows a modest advantage in smell and flavor naming. Wine experts showed more consistency in how they described wine smells and flavors than coffee experts, and novices; but coffee experts were not more consistent for coffee descriptions. Neither expert group was any more accurate at identifying everyday smells or tastes. Interestingly, both wine and coffee experts tended to use more source-based terms (e.g., vanilla ) in descriptions of their own area of expertise whereas novices tended to use more evaluative terms (e.g., nice ). However, the overall linguistic strategies for both groups were en par. To conclude, experts only have a limited, domain-specific advantage when communicating about smells and flavors. The ability to communicate about smells and flavors is a matter not only of perceptual training, but specific linguistic training too.","file.pdf~Abstract~4"
"file.pdf","Introduction",5,"Introduction
Wine, coffee, cheese, and chocolate would all taste bland without the sense of smell. Even though smells are omnipresent in our daily lives, people struggle with odor and flavor naming (i.e., the multisensory experience in the mouth including gustatory, olfactory, and somatosensory sensations; [1,2]). If asked to name everyday odors, like peanut butter, cinnamon or strawberry, most people can only name half of them correctly [3 -6].
PLOSONE|DOI:10.1371/journal.pone.0155845 June 20, 2016
1/21
results/research-projects/i/81/8281.html. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.
Competing Interests: The authors have declared that no competing interests exist.
Experts ' Flavor Naming
At the same time, there is a lucrative industry around language and flavor. Influential wine experts have considerable impact on the price and sales of a wine just through their reviews [7]. This is an interesting state of affairs, as some wine authors themselves acknowledge the limits of language when describing smells and flavors [8 -10].
English, like other Western languages, appears to have a restricted vocabulary for smells and tastes [11,12]. A simple comparison of the brute number of terms for the senses leaves smell and taste at the bottom of the hierarchy [13,14]. When English speakers do try to name smells and flavors they overwhelmingly rely on source-descriptions (e.g., it smells like a banana; it tastes like chicken) or metaphors (e.g., it smells green; it tastes wicked) . Furthermore, English speakers show low accuracy, consistency and agreement in how they describe smells and flavors (e.g. [15 -19]).","file.pdf~Introduction~5"
"file.pdf","Introduction",6,"Introduction
Recently the universality of these findings has been questioned [20,21]. For example, Jahai [21,22] and Maniq [23], two Aslian languages spoken in the Malay Peninsula by hunting-gathering communities, have dedicated vocabulary for smells. The smell of different perfumes, flowers, durian and bearcat ( Arctitis binturong) is described by the Jahai as ltp ɨ t , whereas Maniq might describe the smell of some food (e.g., tubers), bearcat, clean clothes, and some trees with lsp ə s [22,23]. Majid and Burenhult [21] also found Jahai speakers name odors as easily as colors, unlike English speakers who struggled to name the same odors. This raises the possibility that the difficulty people have in naming smells and flavors could be a WEIRD (Western, Educated, Industrialized, Rich, Democratic [24]) affair.
Odors play an important role in Jahai daily life. This is reflected not only in language, but in various aspects of Jahai culture, such as religion and medicine [22]. According to the Jahai, some types of illness are cured by healing magic involving fragrant smells from plants and burnt resins, for example. Similarly, personal names are often drawn from the names of fragrant plants and flowers. For the Jahai, a cultural preoccupation with odors, therefore, aligns with their dexterity in talking about smells.
In the West, naming odors and flavors is also important for some people. Like perfumers, wine experts have years of training and experience in appreciating and describing odors, as well as flavors [25]. This is illustrated by ' tastings ' , during which experts describe and discuss wines, and compare notes. So wine experts can be considered to be part of a distinct sub-culture with its own communicative practices and rituals around smells and flavors (cf. [26]). Considering the significance of flavor in their occupation, then, are wine experts, or other flavor experts, better at describing smells and flavors than novices? And, if so, what linguistic strategies do they use? The previous literature shows no general agreement on these matters, as described below.","file.pdf~Introduction~6"
"file.pdf","The language of wine experts",7,"The language of wine experts
Wine is a complex entity, with as many as 800 different aromatic volatiles that together create a high dimensional flavor experience [27]. How do wine experts and novices convey their personal wine experience to each other given this complexity?
Cain [3] has suggested wine experts appreciate flavors in a different way than novices. A casual perusal of wine reviews certainly adds to this impression. Consider this tasting note:
The 2001 Batard-Montrachet offers a thick , dense aromatic profile of toasted white and yellow fruits . This rich , corpulent offering reveals lush layers of chewy buttered popcorn flavors . Medium-bodied and extroverted , this is a street-walker of a wine , making up for its lack of class and refinement with its well-rounded , sexually-charged assets . Projected maturity : now2009 . ([28] p. 57)
PLOSONE|DOI:10.1371/journal.pone.0155845 June 20, 2016
2/21
Experts ' Flavor Naming
As Suarez-Toste [28] notes, this description contains many figurative and metaphorical constructions. Metaphors are ubiquitous in experts ' wine descriptions [28 -31]: wines are described as having a body (e.g., ' this rich, corpulent offering ' [28]) and persona (e.g. ' making up for its lack of class and refinement ' [28]). Wines are also described as if they were animate, and capable of motion (e.g., ' This wine bursts from the glass with violets ' [32]).
So, it seems as if wine experts are vague and literary in their descriptions. However, other studies suggest experts use more concrete words (e.g., blackberries instead of fruity ; [33 -36]), and provide more precise labels (e.g., gooseberry instead of fruit [37]). It has also been suggested experts use more wine-domain specific terminology (e.g., metallic , mineral , unripe [38,39]), more technical terms (e.g., aldehyde ), and make less reference to hedonic value (e.g., unpleasant [40]). Thus, there is contradictory evidence about the types of strategies experts use to convey their experiences.","file.pdf~The language of wine experts~7"
"file.pdf","The language of wine experts",8,"The language of wine experts
Turning to whether experts have more communicative success than novices, the jury is also out. On the one hand, there are studies suggesting wine experts might have an advantage over novices in how they communicate about wines. Wine experts appear to agree with each other more about how to name wine-related odors than novices or intermediate wine students [37,41 -43]. Some studies have also found expert descriptions are more often matched to the correct wine than descriptions composed by novices [34,35,44]. This fits with the idea proposed by Smith [45] that experts agree more on the smell and flavor of wine, given their shared experiences.
On the other hand, other studies suggest experts are not better at describing flavors than novices. For example, Lawless [34] compared expert wine descriptions to those of novices, and found expert descriptions were highly idiosyncratic, with most terms used only once by one participant. This suggests there is little systematicity between experts. In another study, experts showed similar levels of agreement as novices in their descriptions of wine-related odors [46]. However these studies can be interpreted in a different way. Lawless [34] did not directly compare the two groups on consistency, so we cannot be sure whether experts and novices were similar or different on this measure. Similarly, a closer look at the data in Parr et al. [46] shows experts had numerically higher identification and consistency rates than novices, leaving open the possibility the study was underpowered (as suggested by the authors also, on p. 752). Overall, the few studies conducted to date contradict each other, and leave open the question of whether experts are better at naming odors and flavors.","file.pdf~The language of wine experts~8"
"file.pdf","Howgeneral is expertise?",9,"Howgeneral is expertise?
If wine experts are indeed better at naming odors and flavors, this leads to the question of how well odor naming in one domain generalizes to another. That is, if there is an odor naming advantage for wine experts, does it hold for odors outside of their domain of expertise? Zucco and colleagues [37] found wine experts were better at naming odors than intermediate wine students, but this advantage was restricted to wine-related odors only, and did not extend to household odors. A more recent study [40] compared the language different experts (flavorists and perfumers) used to describe common odors. Flavorists and perfumers used different words than novices, but they found no difference between expert groups, which could indicate flavor experts possess a general ability to express smells and flavors in language.
Sezille et al. [40] are unusual in comparing flavorists and perfumers. Most previous studies focus exclusively on wine experts, and compare them to novices (for a recent review, see [47]). In fact, there are many expert domains which would make for an interesting comparison to wine. Take coffee, for example. Just like wine, coffee contains more than 800 volatile aroma components (cf. [48,49]). There is an extensive literature regarding the growth, harvest,
PLOSONE|DOI:10.1371/journal.pone.0155845 June 20, 2016
3/21
Experts ' Flavor Naming
processing, production, and marketing of both wines and coffees. In addition, experts in both domains typically undergo extensive training: it takes many years of experience to become an expert in either specialty.","file.pdf~Howgeneral is expertise?~9"
"file.pdf","Howgeneral is expertise?",10,"Howgeneral is expertise?
Nevertheless, coffee and wine expertise also differs in some interesting respects. Whereas wines are usually elaborately described in tasting notes, menus, and on placards in stores, the descriptions of coffees tend to be less frequently encountered. This can be quantified further in a number of ways. For example, there are at least 10 different subscription magazines to be found about wine on Amazon.com, but not a single one for coffee (retrieved December 1 st 2015). A simple Google search on both topics reveals a similar asymmetry: a Dutch query for wine tasting notes ( ' wijn ' AND ' proefnotitie ' ) returned 77,000 web pages containing wine tasting notes, while a similar query for coffee ( ' koffie ' AND ' proefnotitie ' ) returned a mere 10,000 web pages containing coffee tasting notes (retrieved October 16 th 2015). The same query in English revealed a similar picture: 501,000 results for wine tasting notes ( ' wine ' AND ' tasting note ' ) versus only 81,000 for coffee tasting notes ( ' coffee ' AND ' tasting note ' , retrieved December 8 th 2015). Likewise, any reasonably priced restaurant will provide a written description of wines on the menu; most supermarkets provide additional information about the wines they sell. But comparably detailed descriptions of coffees are rare. This asymmetry could be attributed to the number of wine vs. coffee experts, but this still could have relevance for sensory language. Studies demonstrate more exposure to more varied input from different people can influence language use (e.g. [50]). For this reason, in this study we compared coffee experts to wine experts on the same flavor and odor naming tasks. If domain-specific linguistic experience matters, then wine and coffee experts should behave differently because there are more (in number) and more varied (number of people producing) descriptions for wines than coffees.
The question we asked is whether smells and flavors are linguistically expressed more easily by wine and coffee experts than by novices. Are they more ' codable ' ? Items that are more codable in language have (1) shorter lengths; (2) dedicated vocabulary for their expression; and (3a) are named more consistently and (3b) correctly (cf. [21,51]). We tested whether experts and novices differ on these measures in how they describe smells and flavors.","file.pdf~Howgeneral is expertise?~10"
